Distributor,Supplier,ProductName,Category,Standard,Internal_ID_Reference_Number,UCLA,UCD_H,UCB,UCR,UCM,UCSC,OG,CH,FT,RAC,AGA,AWA,GAP,AHC,MBA,WWF,MSC,OWR,SSB,SFSC,SP,BFC,BBC,FAC,SPP,EFI,MWD,BAP
Cream Co Meats,Anderson Ranches,Andeson Valley Lamb Stew Cut 20 lb avg HALAL,Lamb,CH,338,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Anderson Ranches,Andeson Valley Lamb Stew Cut 30 lb HALAL 20 lb avg,Lamb,CH,337,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Beef Top Round HALAL,Beef,"CH, GAP",332,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Bones Beef,Beef,"CH, GAP",334,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Bones Beef 40 lb,Beef,"CH, GAP",335,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Crea Co Beef Tri Tip HALAL,Beef,"CH, GAP",333,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Ribeye Lipon HALAL,Beef,"CH, GAP",323,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Sirloin Philly Sliced HALAL,Beef,"CH, GAP",324,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Sirloin Stir-Fry Cut HALAL,Beef,"CH, GAP",325,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Sirloin Whole HALAL,Beef,"CH, GAP",326,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Steak Flank HALAL,Beef,"CH, GAP",327,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Stew Cut HALAL,Beef,"CH, GAP",328,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Tail Flap HALAL,Beef,"CH, GAP",329,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Tenderloin HALAL,Beef,"CH, GAP",330,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Teres Major HALAL,Beef,"CH, GAP",331,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Cream Co Beef Patty 3.2 oz - 5/1 HALAL,Beef,CH,320,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Cream Co Beef Patty 4 oz - 4/1 HALAL,Beef,CH,321,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Cream Co Beef Patty 5.3 oz - 3/1 HALAL,Beef,CH,322,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Creekstone Brisket Beef Whole HALAL,Beef,CH,318,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Califia Farms,"MILK, ALMOND CALIFIA BARISTA 6/32OZ",Dairy Alternative,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Califia Farms,"Milk, Oat Califia 6/48-OZ",Dairy Alternative,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Clover,"MILK, CLOVER CHOCOLATE 2% 5-GAL",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Clover,"MILK, CLOVER CHOCOLATE 2% 5-GAL BIB",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Clover,"MILK, CLOVER CHOCOLATE ORG 2% 5-GAL",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Clover,"MILK, CLOVER ORG LF 2% 5-GAL BIB",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Clover,"MILK, CLOVER ORG WHOLE 5-GAL BIB",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Fennel, 12-CT Organic Coke Farms",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Garlic, Spring Green Org 5-LB Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Radish, Black 10-LB Organic Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Radish, Watermelon Org 10-LB Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Rutabaga, Organic 25-LB Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Strawberry, Organic 12-PT Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Sunchokes, Organic 10-LB Coke Farms",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Turnip, Scarlet 10-LB Organic Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Turnip, Scarlette Coke Farms",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Turnip, White 10-LB Organic Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Coke,"Turnip, White 25# Org Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Durst Org Growers,CAPAY Asparagus -Durst Org Growers,Produce,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Hodo,"TOFU, ORGANIC FIRM 20LB -HODO SOY",Soy Protein,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Pacific Foods,"MILK, SOY BARISTA PACIFIC 12/32-OZ",Dairy Alternative,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Diestal,Diestel Turkey Nat Grd Frozen (frz) 4(5lb) CASE,Turkey,GAP,501,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken 8 Cut Halal,Chicken,"CH, GAP",468,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Breast Airline,Chicken,"CH, GAP",469,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Breast Fajita Cut,Chicken,"CH, GAP",474,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Breast Raw 4 oz Bonless Skinless (BS),Chicken,"CH, GAP",470,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Drumsticks,Chicken,"CH, GAP",476,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Thigh Bone In,Chicken,"CH, GAP",477,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Thigh Boneless,Chicken,"CH, GAP",479,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Wings Party Raw,Chicken,"CH, GAP",481,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Marys,Marys Sweetheart Turkey Breast Boneless Raw Kosher,Turkey,"CH, GAP",500,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman,Pork Rib Back,Pork,CH,491,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman Ranch,Ground Beef,Beef,CH,453,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman Ranch,Patty Beef 3.2 oz 5/1,Beef,CH,456,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman Ranch,Patty Beef 4 oz 4/1,Beef,CH,457,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Norbest Poultry,Norbest Turkey Ground Roll Fresh 2 (10 lb) CASE,Turkey,GAP,502,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Thomas Foods,Ground Beef Halal,Beef,CH,575,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
